Point:60	Drone:3	minCost:1316.54
cost 95.159 sec
The 1-th drone path:center	57	15	10	41	55	39	36	47	48	18	43	44	20	4	11	28	56	23	21	3	center
The 2-th drone path:center	7	12	52	30	1	24	37	50	35	17	58	59	29	27	0	16	8	51	26	49	center
The 3-th drone path:center	32	42	14	13	5	46	25	54	31	45	19	2	40	38	6	53	9	34	22	33	center
The calculate state:
times:644,currentCost:5759.9
times:645,currentCost:6091.11
times:646,currentCost:6658.53
times:647,currentCost:6224.79
times:648,currentCost:6948.29
times:649,currentCost:6253.81
times:650,currentCost:6061.3
times:651,currentCost:6410.24
times:652,currentCost:6305.1
times:653,currentCost:6049.26
times:654,currentCost:6524.39
times:655,currentCost:6858.01
times:656,currentCost:5820.18
times:657,currentCost:5706.48
times:658,currentCost:6005.18
times:659,currentCost:6257.55
times:660,currentCost:6152.55
times:661,currentCost:6828
times:662,currentCost:6025.87
times:663,currentCost:6415.94
times:664,currentCost:5773.72
times:665,currentCost:6141.06
times:666,currentCost:6275.09
times:667,currentCost:6034.79
times:668,currentCost:6130.45
times:669,currentCost:6506.08
times:670,currentCost:6406.25
times:671,currentCost:6122.8
times:672,currentCost:6241.77
times:673,currentCost:6391.35
times:674,currentCost:6101.78
times:675,currentCost:5522.28
times:676,currentCost:6055.38
times:677,currentCost:6617.64
times:678,currentCost:5758.17
times:679,currentCost:6257.6
times:680,currentCost:5859.76
times:681,currentCost:6159.65
times:682,currentCost:6089.97
times:683,currentCost:5812.35
times:684,currentCost:6467.66
times:685,currentCost:5456.61
times:686,currentCost:6645.94
times:687,currentCost:5542.39
times:688,currentCost:5918.8
times:689,currentCost:5403.66
times:690,currentCost:5770.17
times:691,currentCost:5783.08
times:692,currentCost:5857.75
times:693,currentCost:5691.56
times:694,currentCost:5740.55
times:695,currentCost:6026.36
times:696,currentCost:6312.98
times:697,currentCost:6449.42
times:698,currentCost:6097.58
times:699,currentCost:5941.33
times:700,currentCost:6522.44
times:701,currentCost:6267.22
times:702,currentCost:5963.33
times:703,currentCost:6358.06
times:704,currentCost:6466.36
times:705,currentCost:6227.68
times:706,currentCost:6677.95
times:707,currentCost:5869.84
times:708,currentCost:5935.67
times:709,currentCost:6084.62
times:710,currentCost:6420.05
times:711,currentCost:5800.37
times:712,currentCost:5709.97
times:713,currentCost:6608.57
times:714,currentCost:6375.11
times:715,currentCost:6063.37
times:716,currentCost:5790.62
times:717,currentCost:6470.92
times:718,currentCost:6048.65
times:719,currentCost:5480.91
times:720,currentCost:5602.5
times:721,currentCost:6419.13
times:722,currentCost:5869.06
times:723,currentCost:6090.53
times:724,currentCost:6374.46
times:725,currentCost:5686.8
times:726,currentCost:6658.91
times:727,currentCost:5505.81
times:728,currentCost:5792.18
times:729,currentCost:5583.85
times:730,currentCost:6108.49
times:731,currentCost:5373.46
times:732,currentCost:5539.28
times:733,currentCost:6062.05
times:734,currentCost:6082.96
times:735,currentCost:5862.72
times:736,currentCost:5970.4
times:737,currentCost:6169.93
times:738,currentCost:5722.28
times:739,currentCost:5901.44
times:740,currentCost:6497.25
times:741,currentCost:6780.29
times:742,currentCost:5985.65
times:743,currentCost:5839.77
times:744,currentCost:6472.27
times:745,currentCost:6249.85
times:746,currentCost:6265.15
times:747,currentCost:5959.71
times:748,currentCost:5964.01
times:749,currentCost:5913.62
times:750,currentCost:6134.91
times:751,currentCost:5927.95
times:752,currentCost:5979.22
times:753,currentCost:6285.04
times:754,currentCost:6749.26
times:755,currentCost:5771.59
times:756,currentCost:6009.59
times:757,currentCost:6110.38
times:758,currentCost:5680.6
times:759,currentCost:6093.77
times:760,currentCost:6252.68
times:761,currentCost:6213.57
times:762,currentCost:5800.82
times:763,currentCost:5615.59
times:764,currentCost:5534.54
times:765,currentCost:5837.23
times:766,currentCost:5363.48
times:767,currentCost:5928.75
times:768,currentCost:5278
times:769,currentCost:6457.56
times:770,currentCost:5741.84
times:771,currentCost:6186.4
times:772,currentCost:6017.6
times:773,currentCost:6621.06
times:774,currentCost:5428.92
times:775,currentCost:5859.08
times:776,currentCost:6088.6
times:777,currentCost:6003.86
times:778,currentCost:5788.09
times:779,currentCost:6679.14
times:780,currentCost:5463.33
times:781,currentCost:5548.92
times:782,currentCost:6251.45
times:783,currentCost:6471.39
times:784,currentCost:4794.22
times:785,currentCost:5678.23
times:786,currentCost:6096.8
times:787,currentCost:5878.12
times:788,currentCost:6180.93
times:789,currentCost:6324.2
times:790,currentCost:6653.3
times:791,currentCost:5220.88
times:792,currentCost:5624.9
times:793,currentCost:5529.6
times:794,currentCost:5617.81
times:795,currentCost:5656.1
times:796,currentCost:5826.18
times:797,currentCost:6069.66
times:798,currentCost:6123.44
times:799,currentCost:6309.77
times:800,currentCost:5641.49
times:801,currentCost:5989.23
times:802,currentCost:6041.3
times:803,currentCost:6392.14
times:804,currentCost:5231.61
times:805,currentCost:5490.7
times:806,currentCost:6098.72
times:807,currentCost:6280.11
times:808,currentCost:5700.69
times:809,currentCost:5763.33
times:810,currentCost:6019.57
times:811,currentCost:6177.3
times:812,currentCost:5571.64
times:813,currentCost:5778.9
times:814,currentCost:6357.62
times:815,currentCost:5861.4
times:816,currentCost:5799.22
times:817,currentCost:5788.15
times:818,currentCost:5648.98
times:819,currentCost:5498.01
times:820,currentCost:6073.51
times:821,currentCost:6510.75
times:822,currentCost:5855.05
times:823,currentCost:5358.51
times:824,currentCost:5903.1
times:825,currentCost:5853.35
times:826,currentCost:5189.09
times:827,currentCost:6187.9
times:828,currentCost:6252.26
times:829,currentCost:6401.41
times:830,currentCost:6015.52
times:831,currentCost:6539.44
times:832,currentCost:5746.92
times:833,currentCost:6641.99
times:834,currentCost:6499.62
times:835,currentCost:6074.74
times:836,currentCost:6163.53
times:837,currentCost:5849.44
